"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.877833316E-3,5.351827848E-1,1.495507264E-1,-8.398127800E-1,1.007011191E0
1.894683333E-2,5.547458142E-1,5.757110059E-2,-7.654772005E-1,9.471075412E-1
2.901583334E-2,5.675412762E-1,1.315500730E-1,-6.816607994E-1,8.966994855E-1
3.908583330E-2,5.930748975E-1,2.457011712E-1,-7.252196324E-1,9.685300278E-1
4.915483331E-2,6.591589594E-1,1.746615940E-1,-7.062138426E-1,9.817001567E-1
5.922383332E-2,6.377786154E-1,1.096224296E-1,-6.430370164E-1,9.122912056E-1
6.929283333E-2,6.773812222E-1,1.644962096E-1,-4.840868908E-1,8.486721635E-1
7.936283335E-2,6.571369922E-1,1.262396318E-1,-4.738840842E-1,8.199582895E-1
8.943183330E-2,6.396333522E-1,2.502076203E-1,-4.588754145E-1,8.260153295E-1
9.950083331E-2,7.012097955E-1,2.297464585E-1,-4.948358274E-1,8.884487090E-1
1.095698333E-1,7.372707438E-1,1.646400511E-1,-4.079017639E-1,8.585210220E-1
1.196398333E-1,7.630312371E-1,-1.035465878E-1,-3.189527134E-1,8.334682946E-1
1.297088334E-1,4.425827694E-1,3.012766171E-1,-1.695604831E-1,5.616029426E-1
1.397778333E-1,6.021544540E-1,1.242737979E-1,-1.302929217E-1,6.284983761E-1
1.498468333E-1,6.137494826E-1,-1.175348818E-1,-2.583182931E-2,6.254359754E-1
1.599168333E-1,5.593452340E-1,-1.468621767E-1,1.345485252E-1,5.937498593E-1
1.699858333E-1,5.415954262E-1,1.063579291E-1,2.052021861E-1,5.888510439E-1
1.800548333E-1,1.850520962E-1,8.594904149E-1,1.315635216E-1,8.889752594E-1
1.901238333E-1,3.615444535E-1,2.403702646E-1,-2.917865860E-1,5.230981435E-1
2.001928333E-1,5.308728021E-1,-2.961491936E-1,-2.723668134E-1,6.661185765E-1
2.102628333E-1,4.199961448E-1,-1.467417240E-1,3.452431837E-2,4.462306845E-1
2.203318333E-1,3.027056766E-1,1.005762023E-1,1.369184200E-1,3.471209484E-1
2.304008333E-1,1.215764773E-1,6.083946025E-1,2.043508315E-1,6.532106051E-1
2.404698333E-1,1.128097469E-1,4.624714887E-1,7.243178090E-2,4.815104150E-1
2.505398333E-1,2.055027330E-1,-9.021844447E-2,-1.117379340E-1,2.507112021E-1
2.606088333E-1,1.377253175E-1,1.700487256E-2,8.481265705E-2,1.626364521E-1
2.706778334E-1,1.440718853E-1,5.374877572E-2,1.248731375E-2,1.542775811E-1
2.807468333E-1,1.442829698E-1,1.607633471E-2,-3.390683413E-2,1.490828539E-1
2.908168333E-1,7.905435562E-2,3.120974743E-1,2.545375200E-1,4.104190221E-1
3.008858333E-1,6.105311751E-2,1.716520321E-1,2.894570553E-1,3.420194295E-1
3.109548333E-1,2.158265769E-2,-2.623119414E-2,3.497582940E-1,3.514039711E-1
3.210238333E-1,-4.951012909E-2,-1.100644791E-1,4.405385828E-1,4.567709332E-1
3.310938333E-1,-9.329407990E-2,-1.115911871E-1,5.545160186E-1,5.732751462E-1
3.411628333E-1,-1.617895335E-1,-8.852918386E-2,5.653613611E-1,5.946820480E-1
3.512318333E-1,-2.542650032E-1,3.153871179E-2,5.615374283E-1,6.172274018E-1
3.613008333E-1,-2.542106241E-1,-4.127140224E-2,5.844572711E-1,6.386835459E-1
3.713708333E-1,-2.749822730E-1,-1.299520290E-1,5.329913215E-1,6.136632049E-1
3.814398333E-1,-2.963064837E-1,-8.955127716E-2,4.781888775E-1,5.696328345E-1
3.915088333E-1,-3.211910641E-1,-9.169252753E-2,3.526656027E-1,4.857409254E-1
4.015778333E-1,-3.120489424E-1,-5.094971359E-2,3.573585049E-1,4.771535569E-1
4.116468334E-1,-3.190170693E-1,-3.748416066E-2,3.402027011E-1,4.678833516E-1
4.217168333E-1,-3.495091295E-1,-6.382469773E-2,2.991610944E-1,4.644648362E-1
4.317858333E-1,-3.045142204E-1,-3.177084625E-2,4.031970211E-1,5.062668614E-1
4.418548333E-1,-2.716207087E-1,-7.175352216E-2,3.827061117E-1,4.747529307E-1
4.519238333E-1,-2.495884001E-1,-8.961559653E-2,4.167218502E-1,4.939457714E-1
4.619938333E-1,-2.858347052E-1,-2.096402228E-1,4.079229601E-1,5.404180262E-1
