"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.973166680E-3,-1.037263897E-1,5.344881356E-2,2.688292845E-1,2.930616382E-1
1.504316664E-2,-1.043862480E-1,-3.677898645E-3,3.694715238E-1,3.839521097E-1
2.511316666E-2,-1.303984639E-1,-2.453374743E-2,4.022837957E-1,4.236011289E-1
3.518316668E-2,-1.162289062E-1,-1.870582759E-2,4.738478315E-1,4.882528382E-1
4.525316664E-2,-1.326791704E-1,-5.037551701E-2,4.684754097E-1,4.895004234E-1
5.532316666E-2,-1.435868588E-1,-7.024961829E-2,3.884165756E-1,4.200233697E-1
6.539416668E-2,-1.480707961E-1,-7.204354405E-3,3.152737550E-1,3.483882948E-1
7.546416664E-2,-1.717426640E-1,7.742298245E-3,1.676045895E-1,2.400974473E-1
8.553416666E-2,-1.978484353E-1,-1.476421952E-3,3.420741756E-2,2.007892691E-1
9.560416668E-2,-1.745715469E-1,3.496108711E-2,-4.226601362E-2,1.829861156E-1
1.056741666E-1,-1.373177665E-1,5.729745090E-2,-8.948231656E-2,1.736267602E-1
1.157441667E-1,-1.115572733E-1,7.023207664E-2,-6.356387537E-2,1.463486797E-1
1.258141667E-1,-8.792458177E-2,7.331706762E-2,2.338886261E-6,1.144819833E-1
1.358841666E-1,-9.491229683E-2,6.743067563E-2,-5.390197277E-2,1.282991145E-1
1.459541667E-1,-4.065072030E-2,8.919225812E-2,-3.725728869E-2,1.048610773E-1
1.560241667E-1,-3.154572845E-4,1.196328628E-1,-5.486438792E-2,1.316139143E-1
1.660941666E-1,5.564999789E-2,1.390280771E-1,-3.840688784E-2,1.545988924E-1
1.761641667E-1,9.475032896E-2,1.407436502E-1,-3.995398801E-2,1.743064000E-1
1.862341667E-1,1.121808788E-1,1.399028206E-1,-6.403395496E-2,1.904145377E-1
1.963041667E-1,1.219296491E-1,1.429609144E-1,-9.446878552E-2,2.103069514E-1
2.063741666E-1,1.142195106E-1,1.332837725E-1,-1.750410783E-1,2.478911852E-1
2.164441667E-1,1.197518536E-1,1.501676077E-1,-2.021791756E-1,2.788677749E-1
2.265141667E-1,1.402407897E-1,9.199365914E-2,-1.408840199E-1,2.190402234E-1
2.365841666E-1,1.235721320E-1,5.137889922E-2,8.221221752E-3,1.340800193E-1
2.466541667E-1,1.498594594E-1,4.511594653E-2,1.005031121E-1,1.859951121E-1
2.567241667E-1,1.435623005E-1,1.391228020E-2,7.015960772E-2,1.603934420E-1
2.667941666E-1,1.188680470E-1,5.926796257E-2,7.700783014E-3,1.330473827E-1
2.768641667E-1,1.802123559E-1,9.905300260E-2,3.002070151E-2,2.078201940E-1
2.869341667E-1,2.335629362E-1,9.941494524E-2,2.510790747E-2,2.550791711E-1
2.970041666E-1,2.735991141E-1,1.104948342E-1,-7.687919140E-3,2.951689139E-1
3.070741667E-1,3.282094771E-1,1.044675243E-1,-3.852262616E-2,3.465817612E-1
3.171441667E-1,3.621999264E-1,5.604205370E-2,-1.757018137E-1,4.064487985E-1
3.272141666E-1,3.561594602E-1,-0.000000000E0,-4.014978568E-1,5.367029813E-1
3.372841667E-1,3.898981869E-1,2.551374078E-2,-3.871710821E-1,5.500663541E-1
3.473541667E-1,4.145804536E-1,8.692997038E-2,-3.509101589E-1,5.500651888E-1
3.574241666E-1,4.035426646E-1,5.132568955E-2,-4.511617677E-1,6.074767067E-1
3.674941667E-1,4.193684462E-1,1.077793872E-1,-2.654284708E-1,5.078765234E-1
3.775641667E-1,4.366873142E-1,1.722086871E-1,-1.527620538E-1,4.936475335E-1
3.876341667E-1,4.849256739E-1,9.406006515E-2,-3.144936268E-1,5.855821431E-1
3.977041667E-1,4.999954104E-1,5.634260058E-2,-2.934261453E-1,5.824678548E-1
4.077741667E-1,4.139162099E-1,1.407202613E-1,-1.625268308E-1,4.664158998E-1
4.178441667E-1,3.580717921E-1,1.636998188E-1,-2.771404803E-1,4.814767750E-1
4.279141666E-1,3.012327629E-1,1.384211361E-1,-4.001015782E-1,5.195987503E-1
4.379841667E-1,2.706228814E-1,1.492952031E-1,-3.292367963E-1,4.515779773E-1
4.480541667E-1,2.047934657E-1,1.737792492E-1,-3.728886000E-1,4.595492347E-1
4.581241666E-1,2.102500874E-1,1.067011607E-1,-3.615707294E-1,4.316522087E-1
4.681941667E-1,2.158578596E-1,3.623285651E-2,-2.335027099E-1,3.200483572E-1
4.782641667E-1,2.041993886E-1,-2.226912081E-2,-2.269655228E-1,3.061154236E-1
4.883341666E-1,1.975569516E-1,-7.336033702E-2,-2.081514851E-1,2.962052143E-1
4.984041667E-1,1.553377157E-1,-1.081366521E-1,-1.633945942E-1,2.500422662E-1
5.084741667E-1,1.078062844E-1,-1.071315157E-1,-1.214536858E-1,1.945516754E-1
5.185441666E-1,5.192210555E-2,-1.249117291E-1,-1.767707213E-1,2.225909545E-1
5.286141667E-1,3.828055143E-2,-1.819548261E-1,-2.248535085E-1,2.917739873E-1
5.386841667E-1,9.142823339E-2,-2.520301974E-1,-1.796031125E-1,3.227005117E-1
5.487541666E-1,2.092382267E-1,-3.170793021E-1,-1.206140256E-1,3.985820649E-1
5.588241667E-1,4.251285383E-1,-3.641289228E-1,-5.297811270E-2,5.622551262E-1
5.688941667E-1,6.360835075E-1,-5.132323372E-1,-2.951674461E-2,8.178513916E-1
5.789641666E-1,8.017026749E-1,-6.750932068E-1,1.437105640E-1,1.057889759E0
5.890341667E-1,8.308718026E-1,-8.194668084E-1,2.035193574E-1,1.184607079E0
5.991041667E-1,8.013351774E-1,-8.758298743E-1,4.537649846E-1,1.270873202E0
6.091741667E-1,6.548039532E-1,-8.371417719E-1,8.701544206E-1,1.373587740E0
6.192441666E-1,4.609941897E-1,-7.054466879E-1,1.170322625E0,1.442160088E0
6.293141667E-1,2.871669933E-1,-5.942513573E-1,1.471210914E0,1.612470499E0
6.393841667E-1,4.853188992E-5,-4.602507162E-1,1.743160236E0,1.802897205E0
6.494541666E-1,-3.187258780E-1,-2.050051349E-1,2.069120289E0,2.103537987E0
6.595241667E-1,-6.777770787E-1,9.901791930E-2,2.237775038E0,2.340261404E0
6.695941667E-1,-1.145926799E0,4.813486397E-1,2.016252104E0,2.368568616E0
