"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.922830833E-1,5.936385691E-3,-1.538180244E-1,4.577446361E-1,4.829341334E-1
6.023540833E-1,-1.542299607E-1,2.480681241E-2,4.459180943E-1,4.724883126E-1
6.124240833E-1,-2.436982074E-1,2.443972421E-1,3.760940071E-1,5.104561983E-1
6.224940833E-1,-2.480114061E-1,3.525999677E-1,1.266039133E-2,4.312733243E-1
6.325640833E-1,-4.505077931E-1,8.089500064E-1,-4.273261412E-1,1.019786750E0
6.426340833E-1,-6.718956569E-1,1.176745133E0,-1.063267050E0,1.722413917E0
6.527040833E-1,-7.058057070E-1,1.289057867E0,-1.544523304E0,2.131990646E0
6.627740833E-1,-7.363416213E-1,1.532857524E0,-1.951086055E0,2.588163048E0
6.728440833E-1,-8.508105156E-1,1.913824089E0,-2.480586516E0,3.246522853E0
6.829140833E-1,-9.305601051E-1,2.306120803E0,-2.625285223E0,3.616110862E0
6.929840833E-1,-1.016639598E0,2.531602303E0,-2.916186540E0,3.993333223E0
7.030550833E-1,-1.182113462E0,2.800790570E0,-3.334810928E0,4.512514153E0
7.131250833E-1,-1.494890383E0,2.829834859E0,-3.233461139E0,4.549498162E0
7.231950833E-1,-1.713936437E0,2.960800796E0,-3.053944602E0,4.585901993E0
7.332650833E-1,-1.755863020E0,3.216144025E0,-3.200427879E0,4.865118287E0
7.433350833E-1,-1.536770188E0,3.449115808E0,-3.411612936E0,5.088925751E0
7.534050833E-1,-1.194331512E0,3.646657557E0,-3.577404889E0,5.246176211E0
7.634750833E-1,-7.892969298E-1,3.818838177E0,-3.920199076E0,5.529419089E0
7.735450833E-1,-3.481122297E-1,3.629134036E0,-4.127266524E0,5.506916100E0
7.836150833E-1,-2.383190614E-1,3.352316322E0,-4.309968624E0,5.465404856E0
7.936850833E-1,1.428229201E-1,3.046973552E0,-4.336115034E0,5.301541266E0
8.037560833E-1,9.417455363E-1,2.746973382E0,-4.471290965E0,5.331527953E0
8.138260833E-1,2.174019923E0,2.584709054E0,-4.929188762E0,5.975281196E0
8.238960833E-1,3.751602214E0,1.865485741E0,-5.635561649E0,7.022400681E0
8.339660833E-1,5.205191374E0,8.533332968E-1,-5.957290657E0,7.956852828E0
8.440360833E-1,6.489518843E0,2.800927395E-1,-5.928614742E0,8.794360665E0
8.541060833E-1,8.535677701E0,-5.598130113E-1,-6.247595558E0,1.059262171E1
8.641760833E-1,1.152332306E1,-1.275785857E0,-6.372692059E0,1.322973197E1
8.742460833E-1,1.473045185E1,-1.605597471E0,-6.173334750E0,1.605223402E1
8.843160833E-1,1.752661494E1,-2.274906027E0,-5.984935123E0,1.865949830E1
8.943870833E-1,2.035240352E1,-3.511880406E0,-5.912136118E0,2.148271367E1
9.044570833E-1,2.298623971E1,-4.310039375E0,-6.573810550E0,2.429318095E1
9.145270833E-1,2.499312575E1,-5.068867049E0,-7.681870780E0,2.663382974E1
9.245970416E-1,2.644284463E1,-6.862216276E0,-8.829852290E0,2.871028276E1
9.346670416E-1,2.707338030E1,-9.017935583E0,-9.551298130E0,3.009183243E1
9.447370417E-1,2.753660141E1,-1.149580607E1,-9.739272079E0,3.138903303E1
9.548070416E-1,2.758192902E1,-1.397953020E1,-9.572414764E0,3.237006638E1
9.648770416E-1,2.801940366E1,-1.613192887E1,-9.181814911E0,3.360999607E1
9.749470417E-1,2.868608448E1,-1.791729080E1,-8.434431993E0,3.485771644E1
9.850180416E-1,2.799059794E1,-1.898041518E1,-6.042070606E0,3.435456812E1
9.950880416E-1,2.715709840E1,-1.952513126E1,-3.301637042E0,3.361011085E1
1.005158042E0,2.620864026E1,-1.977848059E1,-7.247634034E-1,3.284214367E1
1.015228042E0,2.503613085E1,-1.925750304E1,2.669359195E0,3.169833985E1
1.025298042E0,2.368046092E1,-1.768333552E1,5.122815800E0,2.999513004E1
1.035368042E0,2.234521882E1,-1.633830635E1,5.530895319E0,2.822835208E1
1.045438042E0,2.063468370E1,-1.565438092E1,4.494781569E0,2.628788457E1
1.055508042E0,1.873783876E1,-1.628591062E1,2.922244256E0,2.499753983E1
1.065578042E0,1.652376833E1,-1.778526067E1,1.592283361E0,2.432870287E1
1.075649042E0,1.395071161E1,-1.959871029E1,8.623333311E-1,2.407229566E1
1.085719042E0,1.085327542E1,-2.169652169E1,3.170384081E-1,2.426176322E1
1.095789042E0,9.766329485E0,-2.435671012E1,1.228500009E-2,2.624177338E1
1.105859042E0,1.004548842E1,-2.566128240E1,-6.770015918E-2,2.755753682E1
1.115929042E0,8.755325434E0,-2.750204436E1,-1.594499894E-1,2.886249455E1
1.125999042E0,7.295409002E0,-3.006132621E1,-7.280029070E-1,3.094246781E1
1.136069042E0,7.137229539E0,-3.080201407E1,-9.068923303E-1,3.163110131E1
1.146139042E0,7.438305597E0,-3.118197784E1,-9.845800455E-1,3.207200539E1
1.156209042E0,8.496315415E0,-3.175022897E1,-5.405204156E-1,3.287182041E1
1.166279042E0,9.988268741E0,-3.144989492E1,1.521609235E-1,3.299825080E1
1.176350042E0,1.230114893E1,-3.107602161E1,3.880317557E-1,3.342436167E1
1.186420042E0,1.471858317E1,-3.025174430E1,-7.768584403E-1,3.365127387E1
