"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.178249991E-3,4.638239497E-1,3.837703049E-1,4.166304874E-1,7.321156099E-1
1.824825001E-2,5.967527962E-1,-9.523652494E-2,7.516443694E-1,9.644444792E-1
2.831725002E-2,5.491032511E-1,-3.763115966E-1,-2.027627277E-1,6.958717712E-1
3.838624997E-2,3.083909243E-1,6.920939863E-1,1.360097444E-1,7.698036754E-1
4.845624999E-2,4.199680781E-1,9.400744021E-2,3.314188676E-1,5.431841780E-1
5.852525000E-2,3.728512144E-1,-1.918839830E-1,2.398245732E-1,4.830665761E-1
6.859425001E-2,1.954110235E-1,1.637009883E-1,4.813343140E-1,5.446707295E-1
7.866424997E-2,7.533260286E-2,-1.394911766E-2,3.391892324E-1,3.477339706E-1
8.873324998E-2,-2.434780598E-3,5.149058104E-2,2.062769043E-1,2.126202468E-1
9.880225000E-2,-6.320840120E-4,1.332633072E-1,-2.913375199E-4,1.332651247E-1
1.088722500E-1,2.440393925E-2,-6.267981291E-2,-3.698831677E-1,3.759492904E-1
1.189412500E-1,-6.405390859E-2,3.767700183E-1,-1.449241170E-1,4.087316352E-1
1.290102500E-1,-3.973183036E-2,-2.122837490E-1,-3.017595971E-1,3.710820163E-1
1.390792500E-1,7.022272110E-2,-5.463404417E-2,6.646793157E-2,1.110589720E-1
1.491492500E-1,6.542449594E-3,2.183964282E-1,3.586892581E-1,4.199973659E-1
1.592182500E-1,6.437433600E-2,-4.030778110E-2,3.372580433E-1,3.457047297E-1
1.692872500E-1,1.278645730E-1,-1.885042924E-1,-1.065508872E-3,2.277813701E-1
1.793572500E-1,4.617370784E-2,5.301489168E-1,4.629163156E-1,7.053236141E-1
1.894262500E-1,1.156590950E-1,-2.006378496E-1,-1.918667337E-1,3.007414445E-1
1.994952500E-1,1.103907537E-1,-2.742285669E-2,-1.773624229E-1,2.107025407E-1
2.095652500E-1,-7.790245414E-3,4.234547728E-1,4.624608175E-1,6.270922104E-1
2.196342500E-1,1.663433450E-1,-5.365387541E-1,9.555461347E-2,5.698022703E-1
2.297032500E-1,6.143786430E-2,1.414382994E-1,7.411275673E-1,7.570003135E-1
2.397722500E-1,3.222751379E-2,1.668269098E-2,4.107698232E-1,4.123697036E-1
2.498422500E-1,1.561984259E-1,-2.556589794E-1,1.335718940E-1,3.280257808E-1
2.599112500E-1,1.859970063E-1,4.615563995E-1,4.984632938E-1,7.043400113E-1
2.699802500E-1,3.268102384E-1,7.067763448E-2,-4.090624362E-2,3.368583986E-1
2.800502500E-1,3.984859926E-1,4.868444377E-1,-1.717385709E-1,6.521523821E-1
2.901192500E-1,3.736511135E-1,3.620034599E-1,-2.407444865E-1,5.732534931E-1
3.001882500E-1,3.865021241E-1,3.965417933E-1,-4.189576793E-1,6.943736910E-1
3.102582500E-1,4.356210744E-1,3.124746197E-1,-2.259282267E-1,5.817642754E-1
3.203272500E-1,3.253151053E-1,4.035350633E-1,-4.722082722E-1,7.011783777E-1
3.303962500E-1,2.811680424E-1,4.493982840E-1,-1.116598919E-1,5.417399904E-1
3.404652500E-1,2.072323394E-1,2.901680768E-1,-3.383295456E-1,4.915380317E-1
3.505352500E-1,9.412847757E-2,4.188968682E-1,-3.736055052E-1,5.691360383E-1
3.606042500E-1,1.537232995E-2,4.007874566E-1,-4.647801156E-1,6.139115977E-1
3.706732500E-1,-4.521768808E-2,3.898660272E-1,-4.453642899E-1,5.936240470E-1
3.807432500E-1,-1.293971282E-1,3.980913055E-1,-4.191979998E-1,5.924080244E-1
3.908122500E-1,-2.395154017E-1,3.211331767E-1,-3.248737867E-1,5.157878654E-1
