"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.029500039E-3,-5.755276957E-1,6.760579973E-1,4.981221087E-1,1.018043309E0
1.110050001E-2,-6.741336787E-1,4.515307635E-1,2.267075144E-1,8.424562565E-1
2.117050003E-2,-6.300784171E-1,-5.666185856E-1,-3.591608360E-1,9.203542466E-1
3.124050004E-2,-1.907183406E-1,-1.345932564E0,-6.422977822E-1,1.503480759E0
4.131050000E-2,-5.747406605E-1,-7.239086866E-2,9.757365704E-2,5.874418126E-1
5.138050002E-2,-7.476764488E-1,-6.234301329E-3,-1.989949282E-1,7.737298754E-1
6.145150005E-2,-6.203834412E-1,-2.051787972E-2,-2.258438806E-1,6.605316464E-1
7.152150001E-2,-4.915204561E-1,-1.108924448E-1,-4.140749618E-2,5.055730153E-1
8.159150003E-2,-4.109633660E-1,-2.232770991E-1,3.442138910E-2,4.689652261E-1
9.166150005E-2,-3.416080794E-1,-3.418223798E-2,-5.238959044E-3,3.433539748E-1
1.017315000E-1,-3.034038341E-1,8.662649989E-2,-7.727563262E-2,3.248531367E-1
1.118015000E-1,-3.173769253E-1,3.651264578E-1,-1.005392186E-1,4.941189912E-1
1.218724167E-1,-3.888170367E-1,-2.262311125E-1,-4.937492685E-1,6.679427704E-1
1.319424167E-1,-3.119931015E-1,1.292141104E-1,-3.858938675E-1,5.127865625E-1
1.420124167E-1,-2.496819556E-1,2.698367232E-1,-3.312177233E-1,4.948314020E-1
1.520824167E-1,-7.077586770E-2,-1.016091129E0,-7.988675062E-1,1.294465024E0
1.621524167E-1,-1.087628889E-1,-4.254194373E-1,-5.650959706E-1,7.156427319E-1
1.722234167E-1,-2.634080020E-1,-4.838103175E-2,-4.374218707E-1,5.128960837E-1
1.822934167E-1,-2.006703016E-1,3.594224989E-2,-4.567948656E-1,5.002219153E-1
1.923634167E-1,-3.047685742E-2,1.283797127E-1,-3.835314462E-1,4.055940824E-1
2.024334167E-1,1.031858146E-2,1.071782935E-1,-3.446957016E-1,3.611215674E-1
2.125034167E-1,8.571433425E-2,1.799498159E-1,-2.429145344E-1,3.142234147E-1
2.225744167E-1,1.410412735E-1,2.646391332E-1,-3.483667298E-1,4.596584494E-1
2.326444167E-1,3.823494315E-3,7.363153088E-1,-2.971122301E-1,7.940091500E-1
2.427144167E-1,9.170276016E-2,-1.804748958E-1,-7.905305462E-1,8.160386809E-1
2.527844167E-1,4.160150680E-1,7.127995616E-1,-4.125945930E-1,9.227058307E-1
2.628544167E-1,-2.244611603E-1,4.639596051E-1,-3.260840142E-1,6.098951647E-1
2.729244167E-1,4.154695228E-1,-1.811199022E0,-1.673335125E0,2.500621375E0
2.829954167E-1,2.795822775E-1,2.657694000E-1,-4.596977158E-1,6.001013363E-1
2.930654167E-1,-1.645929810E-1,2.150021195E-2,-5.568094428E-1,5.810248395E-1
3.031354167E-1,2.043777287E-2,1.820296705E-2,-8.076010537E-1,8.080646710E-1
3.132054167E-1,1.887978226E-2,1.495361084E-1,-4.063383646E-1,4.333916940E-1
3.232754167E-1,6.151563227E-3,-3.427930176E-2,-3.097607808E-1,3.117124533E-1
3.333464167E-1,9.079907298E-2,1.178219801E-1,-2.831805079E-1,3.198713658E-1
3.434164167E-1,2.286530292E-1,1.016240233E-1,-2.090799133E-1,3.260737034E-1
3.534864167E-1,2.738838735E-1,1.254508424E-1,-2.200096750E-1,3.730342439E-1
3.635564167E-1,3.091370291E-1,1.803579515E-1,-1.883003707E-1,4.044152853E-1
3.736264167E-1,3.485054550E-1,1.697294676E-1,-2.649771023E-1,4.695497940E-1
3.836974167E-1,2.950233123E-1,1.696949691E-1,-3.450500429E-1,4.846593333E-1
3.937674167E-1,2.744378972E-1,1.995087522E-1,-3.627238369E-1,4.966774441E-1
4.038374167E-1,3.130523247E-1,1.918477303E-1,-3.631308031E-1,5.164022558E-1
4.139074167E-1,3.424579722E-1,1.679279405E-1,-2.642168181E-1,4.639911452E-1
4.239774167E-1,3.456914824E-1,1.761532187E-1,-1.115451403E-1,4.037014687E-1
4.340474167E-1,3.351822817E-1,1.401905036E-1,-5.599279091E-2,3.676081228E-1
4.441184167E-1,3.365861982E-1,1.207181060E-1,8.610375881E-2,3.678002002E-1
4.541884167E-1,2.919321817E-1,1.247023988E-1,1.912543841E-1,3.706120970E-1
4.642584167E-1,3.022425771E-1,1.122624475E-1,2.067448278E-1,3.830102562E-1
4.743284167E-1,2.960079834E-1,9.656676650E-2,2.625132318E-1,4.072579815E-1
4.843984167E-1,2.796848962E-1,4.064808905E-2,2.487522483E-1,3.765017786E-1
4.944694167E-1,3.445422122E-1,-6.078414559E-2,2.935522990E-1,4.567023107E-1
5.045394167E-1,3.753903678E-1,-8.476708531E-2,3.924909885E-1,5.496840575E-1
5.146094167E-1,3.523146236E-1,-9.618669748E-2,4.309783852E-1,5.649069333E-1
5.246794167E-1,4.099301630E-1,-1.877155030E-1,4.043934345E-1,6.056516313E-1
5.347494167E-1,4.884647012E-1,-3.236661905E-1,3.825866823E-1,6.998072139E-1
5.448204167E-1,5.345413452E-1,-3.943637055E-1,3.674649055E-1,7.591361135E-1
5.548904167E-1,5.556860465E-1,-4.551607150E-1,3.718737061E-1,8.088561751E-1
5.649604167E-1,5.723851097E-1,-5.560093975E-1,3.663922338E-1,8.780742753E-1
5.750304167E-1,5.399874419E-1,-5.890280396E-1,3.571127026E-1,8.752542209E-1
5.851004167E-1,5.966218185E-1,-7.486412394E-1,4.432918905E-1,1.054954501E0
5.951714167E-1,5.641457981E-1,-9.589989156E-1,6.229573855E-1,1.275153052E0
6.052414167E-1,5.509299213E-1,-1.057720381E0,8.883301981E-1,1.487086656E0
6.153114167E-1,5.509597421E-1,-1.045975664E0,1.178369782E0,1.669184552E0
6.253814167E-1,4.615832967E-1,-9.472278857E-1,1.478613781E0,1.815653745E0
6.354514167E-1,3.545786655E-1,-8.914109498E-1,1.756440724E0,2.001355423E0
6.455214167E-1,1.732421824E-1,-8.530245638E-1,2.048027336E0,2.225326881E0
6.555924167E-1,-4.857340515E-2,-6.456729412E-1,2.314860052E0,2.403711710E0
6.656624167E-1,-2.902201170E-1,-5.205588984E-1,2.391388557E0,2.464538194E0
6.757324167E-1,-5.181673872E-1,-4.268718857E-1,2.469853367E0,2.559471176E0
6.858024167E-1,-8.001908773E-1,-1.724431604E-1,2.687658641E0,2.809546415E0
6.958724167E-1,-1.159392936E0,1.047616392E-1,2.584630702E0,2.834692725E0
