"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.008779166E-2,7.915106857E-1,3.730640531E-2,1.788149444E-1,8.123150360E-1
2.015779167E-2,8.112728128E-1,4.546093225E-2,1.123179229E-1,8.202716556E-1
3.022779169E-2,8.448674056E-1,7.278847933E-2,-1.470757462E-2,8.481246421E-1
4.029779165E-2,8.823910350E-1,9.640304446E-2,-1.693213320E-1,9.036466118E-1
5.036679166E-2,9.109985375E-1,1.077758789E-1,-2.790045726E-1,9.588417633E-1
6.043679168E-2,9.216056791E-1,1.365465188E-1,-2.852698642E-1,9.743617783E-1
7.050679164E-2,9.283887416E-1,1.199608916E-1,-2.854019382E-1,9.786472998E-1
8.057679166E-2,8.868632779E-1,8.907940686E-2,-3.368090502E-1,9.528388902E-1
9.064679168E-2,8.432594213E-1,1.001323986E-1,-3.481385422E-1,9.177763308E-1
1.007167916E-1,7.812646097E-1,6.159573913E-2,-4.704096687E-1,9.140315541E-1
1.107867917E-1,6.952848119E-1,6.707574964E-2,-4.991855711E-1,8.585489853E-1
1.208567917E-1,6.491321540E-1,4.081941247E-2,-4.740945840E-1,8.048630022E-1
1.309257917E-1,6.133553803E-1,1.495717764E-3,-4.309515611E-1,7.496174409E-1
1.409957916E-1,5.746982682E-1,-1.312056720E-2,-4.185512247E-1,7.110804289E-1
1.510657917E-1,5.610020426E-1,-4.588602483E-2,-3.816378985E-1,6.800561040E-1
1.611357917E-1,5.377339250E-1,-4.618364811E-2,-4.086572242E-1,6.769722522E-1
1.712057916E-1,5.476548958E-1,-3.923657119E-2,-4.829806707E-1,7.312562627E-1
1.812757917E-1,5.349445108E-1,-8.673174977E-3,-5.790468425E-1,7.883756080E-1
1.913457917E-1,5.165921474E-1,3.806537390E-3,-6.637906120E-1,8.411301404E-1
2.014157916E-1,4.951299423E-1,1.087874472E-2,-7.001556156E-1,8.576070737E-1
2.114847917E-1,4.672144577E-1,8.673759699E-3,-7.434418952E-1,8.781061640E-1
2.215547917E-1,4.601934135E-1,2.406012297E-2,-7.012467791E-1,8.391089992E-1
