"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.806791670E-3,-6.021597165E-1,-1.385170305E-1,9.995673363E-1,1.175124739E0
1.987579168E-2,-6.443947399E-1,-1.570521194E-1,8.285479729E-1,1.061320730E0
2.994479163E-2,-6.915063411E-1,-1.366067451E-1,5.124359465E-1,8.714545438E-1
4.001479165E-2,-6.464447737E-1,-1.211262417E-1,4.860275817E-1,8.177928968E-1
5.008379166E-2,-5.165716821E-1,-1.682290721E-1,2.511425900E-1,5.985147650E-1
6.015379168E-2,-3.507540017E-1,-1.323464638E-1,1.260498896E-1,3.955155255E-1
7.022279163E-2,-3.736376649E-1,-1.021531963E-1,6.495306417E-2,3.927585527E-1
8.029179164E-2,-3.995484316E-1,-8.908525407E-2,6.254795820E-2,4.141103462E-1
9.036179166E-2,-2.944920927E-1,-6.796745002E-2,3.994373345E-1,5.008945509E-1
1.004307917E-1,-2.288933498E-1,-6.909713209E-2,7.239721289E-1,7.624317823E-1
1.104997916E-1,-1.911413866E-1,-1.027279776E-1,7.149213700E-1,7.471282570E-1
1.205697916E-1,-2.312462693E-1,-1.000534612E-1,6.371515015E-1,6.851624391E-1
1.306387917E-1,-2.185198045E-1,-4.406052411E-2,4.695729321E-1,5.197989739E-1
1.407087917E-1,-1.739271837E-1,-9.842618108E-3,1.824106166E-1,2.522323838E-1
1.507777916E-1,-7.792701244E-2,1.994719148E-2,1.198012626E-1,1.443012552E-1
1.608467916E-1,-1.313898593E-1,1.592781544E-2,-2.562615350E-2,1.348098297E-1
1.709167917E-1,-1.054709065E-1,1.135535127E-1,-2.443758997E-1,2.893753492E-1
1.809857917E-1,1.029343843E-1,1.746727037E-1,-5.655093688E-1,6.007552639E-1
1.910547917E-1,3.090265167E-1,2.139654082E-1,-7.516136715E-1,8.403580755E-1
2.011247916E-1,4.843447530E-1,2.311188000E-1,-9.661192162E-1,1.105166087E0
2.111937916E-1,5.688422817E-1,2.831905943E-1,-9.149975945E-1,1.114001370E0
2.212637917E-1,4.681263310E-1,3.364534664E-1,-6.711850740E-1,8.847782775E-1
2.313327917E-1,4.191728568E-1,3.650206232E-1,-3.982754928E-1,6.837903973E-1
2.414017916E-1,3.946490496E-1,3.298619002E-1,-2.322022891E-1,5.643355816E-1
2.514717916E-1,2.560080582E-1,3.339520276E-1,-2.834569350E-2,4.217434776E-1
2.615407917E-1,3.750012356E-1,-1.854847902E-1,-6.561701551E-2,4.234809639E-1
2.716107917E-1,3.339210373E-1,-2.141396552E-1,-3.613593891E-2,3.983275752E-1
2.816797916E-1,1.344222254E-1,1.182248533E-2,1.450308287E-1,1.980985793E-1
2.917487916E-1,4.828923047E-2,7.225638270E-2,1.538248949E-1,1.766774827E-1
3.018187917E-1,-2.689309895E-2,6.917139173E-2,3.822617233E-3,7.431374440E-2
3.118877917E-1,2.169609368E-2,-2.432810086E-1,-1.709573829E-1,2.981321794E-1
3.219567916E-1,-4.423184752E-2,-3.178411943E-1,-1.603449789E-1,3.587338754E-1
3.320267916E-1,-1.975136822E-1,-2.799816424E-1,-1.213797185E-1,3.635029722E-1
3.420957917E-1,-3.244041091E-1,-1.643044209E-1,-2.750559479E-2,3.646786620E-1
3.521657917E-1,-3.524789304E-1,-1.792569208E-1,-3.863840103E-3,3.954609580E-1
3.622347916E-1,-2.296488100E-1,-3.558165210E-1,5.009017289E-3,4.235198494E-1
3.723037916E-1,-1.836423326E-1,-4.492591202E-1,-2.404959798E-3,4.853494074E-1
3.823737917E-1,-2.251493776E-1,-4.000846213E-1,-4.684204459E-2,4.614695262E-1
3.924427917E-1,-2.917643666E-1,-3.250379473E-1,-1.626987755E-1,4.660976340E-1
4.025117917E-1,-2.688812882E-1,-3.342221689E-1,-3.002501383E-1,5.235950257E-1
4.125817916E-1,-2.426144260E-1,-3.187393266E-1,-3.422082961E-1,5.268425153E-1
4.226507916E-1,-3.350261611E-1,-2.760856426E-1,-4.431616437E-1,6.203692877E-1
4.327207917E-1,-3.367458272E-1,-3.485484320E-1,-4.513158783E-1,6.622460144E-1
4.427897917E-1,-3.587067997E-1,-3.696171194E-1,-3.010585159E-1,5.965933399E-1
4.528587916E-1,-4.385563767E-1,-4.947896343E-1,-2.146403231E-1,6.951395156E-1
4.629287916E-1,-5.446938658E-1,-6.078923267E-1,-2.551622584E-1,8.551796691E-1
4.729977917E-1,-5.780042839E-1,-6.925541621E-1,-1.669032159E-1,9.173750069E-1
4.830667917E-1,-7.663442695E-1,-4.548666000E-1,-7.783696532E-2,8.945645625E-1
4.931367916E-1,-9.117516589E-1,-4.066814500E-1,-2.273607945E-1,1.023901275E0
5.032057916E-1,-1.002901565E0,-5.114904517E-1,-3.360073239E-1,1.174876569E0
5.132757917E-1,-1.114562334E0,-5.152092808E-1,-3.120109355E-1,1.266901978E0
5.233447917E-1,-1.266032701E0,-5.182843316E-1,-4.058224940E-1,1.426937050E0
5.334137917E-1,-1.415855323E0,-5.678242815E-1,-2.540357924E-1,1.546481456E0
5.434837916E-1,-1.597330678E0,-5.142374736E-1,-5.096754760E-2,1.678839827E0
5.535527917E-1,-1.835699440E0,-4.241862595E-1,-8.782634854E-2,1.886117675E0
5.636217917E-1,-1.902893304E0,-4.448316085E-1,-3.284264088E-2,1.954470958E0
5.736917917E-1,-1.932819938E0,-2.830221945E-1,1.359346077E-2,1.953478758E0
5.837607916E-1,-1.936666237E0,2.076755583E-2,-1.545828402E-2,1.936839271E0
5.938307917E-1,-1.833127250E0,2.442235798E-1,-2.685947746E-1,1.868727863E0
6.038997917E-1,-2.065883855E0,7.773732877E-1,-5.057642734E-1,2.264504986E0
6.139687917E-1,-2.013333174E0,9.953949094E-1,-1.032980812E0,2.472118697E0
6.240387916E-1,-2.143475237E0,1.319028355E0,-1.551965786E0,2.956842860E0
6.341077916E-1,-2.423380866E0,1.786917874E0,-1.691473188E0,3.453539034E0
6.441767917E-1,-2.506347009E0,2.137227488E0,-1.773731087E0,3.741074529E0
6.542467917E-1,-2.172528883E0,2.387055624E0,-1.749206257E0,3.671190383E0
6.643157916E-1,-1.922143507E0,2.804407657E0,-1.688244356E0,3.795985640E0
6.743857916E-1,-1.731686245E0,2.768083000E0,-1.951993543E0,3.804116130E0
6.844547917E-1,-1.559550063E0,2.960711333E0,-2.304188883E0,4.062916983E0
6.945237917E-1,-1.287704821E0,3.446281663E0,-2.682561623E0,4.553150323E0
7.045937916E-1,-8.017760575E-1,3.959060256E0,-3.002574474E0,5.033135844E0
7.146627916E-1,-3.767711878E-2,3.944408888E0,-3.362130874E0,5.183020842E0
7.247327917E-1,7.486517644E-1,3.575298137E0,-3.459199331E0,5.030834548E0
7.348017917E-1,1.947942007E0,3.580244882E0,-3.401010180E0,5.308436843E0
7.448707917E-1,3.599559404E0,3.667909262E0,-3.441120325E0,6.184795498E0
7.549407916E-1,5.858088550E0,3.322838169E0,-4.159392296E0,7.915743757E0
7.650097916E-1,8.429349593E0,3.480946881E0,-5.202779397E0,1.049951614E1
7.750787917E-1,1.061783962E1,4.007886845E0,-6.493714221E0,1.307554968E1
7.851487917E-1,1.269376022E1,4.001667162E0,-7.923496442E0,1.548956696E1
7.952177916E-1,1.488098257E1,2.289080848E0,-8.585920486E0,1.733209635E1
8.052877916E-1,1.661835640E1,-2.187653875E-1,-8.676636529E0,1.874837724E1
8.153567917E-1,1.815458485E1,-1.998370149E0,-7.898676181E0,1.989903313E1
8.254257917E-1,2.067438630E1,-4.127854754E0,-6.574746104E0,2.208385655E1
8.354957916E-1,2.346708900E1,-5.567811130E0,-5.299964215E0,2.469401562E1
8.455647916E-1,2.593786506E1,-6.286554387E0,-4.139981879E0,2.700801843E1
8.556337917E-1,2.766262060E1,-6.338367149E0,-3.280629458E0,2.856847924E1
8.657037917E-1,2.871333017E1,-6.075907858E0,-2.750016857E0,2.947769628E1
8.757727917E-1,2.965951257E1,-6.908991662E0,-2.512712288E0,3.055707078E1
8.858427916E-1,3.001748145E1,-8.012444286E0,-1.481814255E0,3.110376552E1
8.959117917E-1,3.054061546E1,-9.348412610E0,-2.300464572E-1,3.194017740E1
9.059762916E-1,3.104850929E1,-1.144494465E1,1.204663249E0,3.311265469E1
9.160462916E-1,3.091227852E1,-1.363847614E1,3.095467435E0,3.392873286E1
9.261152917E-1,3.018961412E1,-1.547250211E1,5.095508133E0,3.430415901E1
9.361842917E-1,2.928269694E1,-1.662589463E1,6.920566226E0,3.437718647E1
9.462542916E-1,2.828419833E1,-1.730002948E1,8.025067255E0,3.411288026E1
9.563232916E-1,2.652686678E1,-1.747662124E1,8.490315002E0,3.288149024E1
9.663932917E-1,2.390436718E1,-1.744327223E1,8.643485155E0,3.082849902E1
9.764622917E-1,2.082229045E1,-1.700023689E1,9.088066503E0,2.837549623E1
9.865312917E-1,1.758074846E1,-1.656487777E1,9.103146472E0,2.581366242E1
9.966012916E-1,1.485281186E1,-1.658297724E1,8.668125907E0,2.389011429E1
1.006670292E0,1.285274485E1,-1.697721523E1,7.560005450E0,2.259585293E1
1.016740292E0,1.120608706E1,-1.643608583E1,7.158005866E0,2.114138956E1
1.026809292E0,1.031230740E1,-1.885433752E1,6.959071895E0,2.258890012E1
1.036878292E0,8.875365263E0,-1.978912019E1,7.102095374E0,2.282150620E1
1.046948292E0,8.262805104E0,-2.095150924E1,6.308969103E0,2.338894565E1
1.057017292E0,8.000617123E0,-2.214413073E1,5.366215507E0,2.414888546E1
1.067086292E0,7.653338122E0,-2.340059446E1,4.326582903E0,2.499761439E1
1.077156292E0,7.220825427E0,-2.501852137E1,3.598473869E0,2.628717835E1
1.087225292E0,6.427215591E0,-2.507744493E1,3.570040905E0,2.613297795E1
1.097295292E0,5.862350585E0,-2.575689841E1,3.598385868E0,2.665958272E1
1.107364292E0,5.768615626E0,-2.667756123E1,4.348493882E0,2.763835375E1
1.117433292E0,6.407854875E0,-2.638167340E1,5.150856707E0,2.763303495E1
1.127503292E0,7.522599642E0,-2.543720540E1,5.222499132E0,2.703544750E1
1.137572292E0,9.684490685E0,-2.354743442E1,5.429177155E0,2.603357433E1
1.147641292E0,1.123187094E1,-2.235249743E1,5.446838086E0,2.560189663E1
1.157711292E0,1.285573511E1,-2.156718362E1,5.348041191E0,2.567128511E1
1.167780292E0,1.481221815E1,-1.995012444E1,5.534590759E0,2.545664877E1
1.177850292E0,1.702249139E1,-1.882279530E1,6.155418881E0,2.611421103E1
1.187919292E0,1.923261378E1,-1.773685274E1,6.729000331E0,2.701423372E1
1.197988292E0,2.161759130E1,-1.695436665E1,6.961240627E0,2.834130684E1
1.208058292E0,2.416145521E1,-1.648481652E1,6.585400901E0,2.998153763E1
1.218127292E0,2.647690350E1,-1.589564757E1,5.597539544E0,3.138519522E1
1.228196292E0,2.808197355E1,-1.531388586E1,4.624119641E0,3.231864510E1
1.238266292E0,2.818223225E1,-1.480092366E1,2.921558962E0,3.196624880E1
1.248335292E0,2.856681765E1,-1.370809309E1,1.472140767E0,3.171974283E1
1.258405292E0,2.742654043E1,-1.351629974E1,8.049066567E-1,3.058681666E1
1.268474292E0,2.422587282E1,-1.366072129E1,9.736796661E-1,2.782905446E1
1.278543292E0,2.229431062E1,-1.344528765E1,1.643883870E0,2.608667093E1
1.288613292E0,2.044044388E1,-1.311241034E1,2.292452352E0,2.439267080E1
1.298682292E0,1.836295622E1,-1.329875876E1,2.514062995E0,2.281174387E1
1.308751292E0,1.553465333E1,-1.376466841E1,2.683613538E0,2.092829024E1
1.318821292E0,1.240115035E1,-1.426869606E1,2.299597650E0,1.904395880E1
1.328890292E0,9.009347193E0,-1.574267388E1,4.501888275E-1,1.814394631E1
1.338960292E0,4.118325546E0,-1.853317335E1,-1.320683702E0,1.903111466E1
1.349029292E0,-2.933263333E0,-2.048390740E1,-1.388901998E0,2.073942007E1
1.359098292E0,-9.562945783E0,-2.228024689E1,6.034958053E-1,2.425332020E1
1.369168292E0,-1.371672007E1,-2.607418003E1,3.693187945E0,2.969260701E1
1.379237292E0,-1.703911035E1,-3.002858414E1,6.835452400E0,3.519617247E1
1.389306292E0,-1.990222405E1,-3.295807427E1,9.952847478E0,3.976672421E1
1.399376292E0,-2.227724610E1,-3.472698564E1,1.076223076E1,4.263877152E1
1.409445292E0,-2.451789914E1,-3.562846257E1,1.033928177E1,4.446813996E1
1.419514292E0,-2.604859261E1,-3.609552413E1,9.950731956E0,4.561176499E1
1.429584292E0,-2.678311049E1,-3.670837314E1,1.035148491E1,4.660464468E1
1.439653292E0,-2.708988348E1,-3.667836523E1,1.165437320E1,4.706366622E1
1.449723292E0,-2.766443089E1,-3.567532216E1,1.277797416E1,4.691829037E1
1.459792292E0,-2.748435069E1,-3.456948972E1,1.366305550E1,4.622897617E1
1.469861292E0,-2.516013860E1,-3.337231208E1,1.373162229E1,4.399205881E1
1.479931292E0,-2.048447809E1,-3.190262378E1,1.285948902E1,4.003445646E1
1.490000292E0,-1.332468181E1,-3.065001219E1,1.148617687E1,3.533981680E1
1.500069292E0,-5.929269045E0,-2.994240554E1,1.008794857E1,3.214763735E1
1.510139292E0,4.684654695E-1,-2.996662003E1,1.015779473E1,3.164488220E1
1.520208292E0,6.582315910E0,-3.098906182E1,1.200958453E1,3.388036239E1
1.530278292E0,1.166607699E1,-3.259791853E1,1.537998279E1,3.788489825E1
1.540347292E0,1.550124702E1,-3.395057130E1,1.847276693E1,4.164340367E1
1.550416292E0,1.860729733E1,-3.492968054E1,2.064793583E1,4.463912355E1
1.560486292E0,2.114760146E1,-3.551599255E1,2.150366883E1,4.659414714E1
1.570555292E0,2.287115715E1,-3.513257659E1,2.076406621E1,4.678177223E1
1.580624292E0,2.385366480E1,-3.475741923E1,1.940392667E1,4.640676552E1
1.590694292E0,2.401837852E1,-3.466201372E1,1.923392238E1,4.634955741E1
1.600763292E0,2.345070744E1,-3.555301946E1,1.961192032E1,4.688902100E1
1.610833292E0,2.252291102E1,-3.593246399E1,2.029349633E1,4.701329049E1
1.620902292E0,2.056551348E1,-3.575170083E1,2.167367311E1,4.659262349E1
1.630971292E0,1.749881493E1,-3.553170051E1,2.259678474E1,4.559961563E1
1.641041292E0,1.368888382E1,-3.538950792E1,2.246451839E1,4.409600206E1
1.651110292E0,1.082226997E1,-3.429779534E1,2.198498355E1,4.215210308E1
1.661179292E0,8.560502055E0,-2.992141871E1,2.043993400E1,3.723391458E1
1.671249292E0,6.604873298E0,-2.614192821E1,1.615119077E1,3.143064945E1
1.681318292E0,6.633096054E0,-2.420705882E1,1.139955037E1,2.756681716E1
1.691388292E0,6.437423075E0,-2.180374794E1,7.735739424E0,2.401427709E1
1.701457292E0,5.432974922E0,-1.942187061E1,4.870854015E0,2.074732496E1
1.711526292E0,5.420801019E0,-1.841389249E1,3.406922885E0,1.949522105E1
1.721596292E0,5.837457234E0,-1.745887026E1,3.135241657E0,1.867398720E1
1.731665292E0,6.893649738E0,-1.645267906E1,3.431762149E0,1.816562816E1
1.741734292E0,8.673926929E0,-1.568787845E1,3.949756751E0,1.835611934E1
1.751804292E0,1.146812184E1,-1.479847485E1,5.633260185E0,1.955112009E1
1.761873292E0,1.584257239E1,-1.339534775E1,7.427129813E0,2.203598644E1
1.771943292E0,2.046827662E1,-1.068660522E1,9.124972959E0,2.482778706E1
1.782012292E0,2.399601409E1,-9.245828474E0,1.069919778E1,2.785259179E1
1.792081292E0,2.624962924E1,-9.530746921E0,1.320119095E1,3.088931230E1
1.802151292E0,2.631245640E1,-5.987986785E0,1.806721107E1,3.247499752E1
1.812220292E0,2.796318385E1,-5.324458201E0,2.395202900E1,3.720200532E1
1.822290292E0,3.261478190E1,-4.937162025E0,2.899640557E1,4.391914279E1
1.832359292E0,3.933175919E1,-2.436563998E0,3.174391397E1,5.060237345E1
1.842428292E0,4.876844955E1,-4.077062915E0,3.117572132E1,5.802507831E1
1.852498292E0,5.833594914E1,-3.769611638E0,2.928891838E1,6.538450638E1
1.862567292E0,6.377533788E1,-1.585562571E0,2.804701188E1,6.968818124E1
1.872636292E0,6.577957629E1,-3.358448297E0,2.734454844E1,7.131588996E1
1.882706292E0,6.326536712E1,-5.778314987E0,2.630441999E1,6.875913111E1
1.892775292E0,5.771160685E1,-8.928012423E0,2.549553957E1,6.372096600E1
1.902845292E0,5.138673916E1,-1.275692184E1,2.468334494E1,5.841749339E1
1.912917667E0,4.491457310E1,-1.587046595E1,2.325673425E1,5.301005805E1
1.922986667E0,3.896102934E1,-1.774350688E1,2.069414287E1,4.755040896E1
1.933056667E0,3.365469751E1,-1.843406538E1,1.734006420E1,4.210856513E1
1.943125667E0,2.857600480E1,-1.855077932E1,1.397418935E1,3.682387040E1
1.953194667E0,2.356745529E1,-1.837664923E1,1.158872768E1,3.205346775E1
1.963264667E0,1.971011261E1,-1.880224935E1,9.674109539E0,2.890677282E1
1.973333667E0,1.729358585E1,-2.013958358E1,7.294630737E0,2.752966720E1
1.983403667E0,1.508790150E1,-2.184217584E1,5.645363921E0,2.714029386E1
1.993472667E0,1.288586464E1,-2.312521633E1,4.320187218E0,2.682322046E1
2.003541667E0,1.143122591E1,-2.467685219E1,2.856237669E0,2.734553078E1
2.013611667E0,1.042579835E1,-2.628469382E1,1.506574728E0,2.831699433E1
2.023680667E0,9.376617824E0,-2.714836967E1,8.869026735E-1,2.873571879E1
2.033750667E0,8.081090598E0,-2.749157784E1,1.022310228E0,2.867291398E1
2.043819667E0,7.462099087E0,-2.802696996E1,2.008276502E0,2.907279041E1
2.053888667E0,7.462658080E0,-2.860529467E1,2.927626033E0,2.970732474E1
2.063958667E0,8.456781220E0,-2.818905010E1,3.915426871E0,2.968956486E1
2.074027667E0,1.119742967E1,-2.917467314E1,4.735571372E0,3.160648067E1
2.084096667E0,1.350246991E1,-2.890051825E1,4.507478506E0,3.221605207E1
