"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.486558333E-2,-1.072172944E0,-1.700893638E-1,-1.487675503E0,1.841646985E0
2.493558335E-2,-9.936284655E-1,-2.231288722E-1,-8.857239479E-1,1.349663267E0
3.500558337E-2,-9.151950842E-1,-3.797272477E-1,-6.895317364E-1,1.207157339E0
4.507558333E-2,-1.189198533E0,-3.386134279E-1,-1.162563881E0,1.697176179E0
5.514558335E-2,-8.590413487E-1,-5.917809087E-1,-4.470003408E-1,1.134885892E0
6.521558337E-2,-5.092533070E-1,-9.989903623E-1,1.535028777E-1,1.131761374E0
7.528558339E-2,-8.893451285E-1,-1.050535907E0,-1.762056610E-2,1.376543110E0
8.535558335E-2,-6.279570472E-1,-1.095983391E0,3.491717452E-1,1.310507747E0
9.542458336E-2,-5.193298137E-1,-1.022341803E0,1.000390186E0,1.521731494E0
1.054945834E-1,-5.798075652E-1,-1.062751325E0,8.227365714E-1,1.463732441E0
1.155645833E-1,-5.851975286E-1,-1.023369159E0,5.070366275E-1,1.283287467E0
1.256345834E-1,-5.051655185E-1,-9.181572837E-1,3.606188393E-1,1.108264836E0
1.357045834E-1,-4.013645768E-1,-1.030737820E0,7.851875067E-2,1.108909000E0
1.457745833E-1,-1.726565838E-2,-1.555914849E0,1.928177834E-1,1.567911929E0
1.558445834E-1,-2.930343819E-1,-1.955197817E-1,9.212350387E-2,3.641206860E-1
1.659145834E-1,-2.356562394E-1,-1.530672419E-1,-7.098519802E-2,2.898315753E-1
1.759845833E-1,-2.023352963E-1,-4.026673365E-1,-2.040081847E-1,4.946715025E-1
1.860545833E-1,-5.270914078E-2,-2.343306756E-1,-3.524900401E-1,4.265423161E-1
1.961245834E-1,1.234142572E-1,-1.258578086E-1,-3.742299879E-1,4.136657475E-1
2.061945834E-1,3.214612055E-1,-3.661345178E-1,-1.954034038E-1,5.249516949E-1
2.162645833E-1,2.428284341E-1,-3.637248802E-1,-3.404388921E-1,5.542202415E-1
2.263345834E-1,2.815843642E-1,-2.567448074E-1,-2.477646353E-1,4.545271881E-1
2.364045834E-1,1.886095423E-1,-2.719265181E-1,-2.692812194E-1,4.266496992E-1
2.464745833E-1,1.326873565E-1,-1.103480691E-1,-2.888559433E-1,3.364823723E-1
2.565445834E-1,4.748757720E-1,-2.354428160E-1,-2.612693828E-1,5.909331678E-1
2.666145834E-1,5.186369187E-1,-2.956352234E-1,-7.509853882E-1,9.593557692E-1
2.766845833E-1,4.866614199E-1,-1.228850842E-1,-5.799455595E-1,7.669921339E-1
2.867545834E-1,4.606588519E-1,-7.256394625E-3,-2.291640576E-1,5.145633084E-1
2.968245834E-1,5.036850035E-1,6.213485241E-2,-3.328492427E-1,6.069167497E-1
3.068945833E-1,4.366911149E-1,9.895593882E-2,-2.418449324E-1,5.089011486E-1
3.169645834E-1,4.777356452E-1,5.724014819E-2,-3.735897177E-1,6.091609463E-1
