"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.025458363E-3,-3.577484411E-1,-3.347981197E-1,5.916984630E-1,7.682322560E-1
1.909545832E-2,-4.119603163E-1,-2.555940753E-1,5.242519999E-1,7.140586761E-1
2.916545834E-2,-4.706570059E-1,-1.300017303E-1,4.637198693E-1,6.733903654E-1
3.923545836E-2,-5.552258706E-1,-6.640682817E-3,4.059300828E-1,6.878219960E-1
4.930545832E-2,-5.880036074E-1,3.090838194E-3,3.520327878E-1,6.853355961E-1
5.937545834E-2,-5.923802483E-1,-6.047015011E-2,3.669314933E-1,6.994352854E-1
6.944545836E-2,-5.457019258E-1,-1.964565057E-1,1.268787324E-1,5.937035987E-1
7.951545832E-2,-4.140208751E-1,-3.578396577E-1,5.138942420E-2,5.496393168E-1
8.958545834E-2,-3.921253914E-1,-4.018118888E-1,-3.614163995E-3,5.614518490E-1
9.965545835E-2,-3.129336262E-1,-3.314967817E-1,-1.782114387E-2,4.562183291E-1
1.097254583E-1,-1.968441761E-1,-2.972502244E-1,3.245935589E-2,3.579929263E-1
1.197954583E-1,-1.277119607E-1,-2.702086061E-1,-4.015224516E-2,3.015547024E-1
1.298654584E-1,-1.849819297E-1,-1.621257484E-1,-8.587396324E-2,2.605329349E-1
1.399354583E-1,-2.032310897E-1,-2.667148948E-2,-1.844919330E-1,2.757743960E-1
1.500054583E-1,-1.622228122E-1,8.661597490E-2,-2.305644840E-1,2.949212593E-1
1.600754583E-1,-6.594022036E-2,9.927928984E-2,-1.794586498E-1,2.154295640E-1
1.701454583E-1,7.361059785E-3,1.501857340E-2,-5.925919175E-2,6.157430109E-2
1.802144583E-1,2.329764605E-2,2.083889186E-2,1.112684208E-1,1.155755216E-1
1.902854583E-1,2.810873508E-2,1.186926305E-2,2.078068283E-1,2.100348978E-1
2.003544584E-1,5.640165746E-2,-1.108316338E-1,1.168071958E-1,1.706127751E-1
2.104244583E-1,-7.265048504E-2,1.187218666E-2,2.613775563E-1,2.715460711E-1
2.204944583E-1,-2.212060153E-1,1.163245082E-2,2.789724129E-1,3.562204687E-1
2.305644584E-1,-3.019303358E-1,-2.706968486E-2,2.281653714E-1,3.794128783E-1
2.406344583E-1,-3.357617408E-1,-5.516614079E-2,1.318400949E-1,3.649124009E-1
2.507044583E-1,-3.952326018E-1,-9.883022368E-2,6.002839297E-2,4.118004742E-1
2.607744584E-1,-4.212018406E-1,-1.252035052E-1,1.080439737E-1,4.525045950E-1
2.708444583E-1,-4.024925047E-1,-3.583559668E-1,2.095650861E-1,5.782185924E-1
2.809144583E-1,-3.413206887E-1,-5.797081625E-1,2.782128596E-1,7.279860998E-1
2.909844583E-1,-2.557507807E-1,-7.655472940E-1,3.351939762E-1,8.739714657E-1
3.010544583E-1,-2.962795866E-1,-8.919570798E-1,4.225490391E-1,1.030493433E0
3.111244583E-1,-3.675396037E-1,-8.779372108E-1,5.700099707E-1,1.109400952E0
3.211944583E-1,-5.357230675E-1,-7.707904923E-1,7.020596883E-1,1.172179591E0
3.312644583E-1,-7.235566843E-1,-6.587923390E-1,7.529015207E-1,1.234666887E0
3.413344583E-1,-9.525815964E-1,-5.656754297E-1,6.442701942E-1,1.281594504E0
3.514078333E-1,-1.148093777E0,-3.651176870E-1,5.911590573E-1,1.341975885E0
3.614778334E-1,-1.293112326E0,-2.341476578E-1,5.360247838E-1,1.419255855E0
3.715478333E-1,-1.337709625E0,-2.148348892E-1,4.696904612E-1,1.433956136E0
3.816168333E-1,-1.309195093E0,-1.137897402E-1,2.823281300E-1,1.344116464E0
3.916868333E-1,-1.387105733E0,1.579087365E-1,2.152056026E-1,1.412554755E0
4.017568333E-1,-1.416510796E0,4.447485781E-1,1.562083662E-1,1.492884854E0
4.118268333E-1,-1.485369362E0,7.679428983E-1,4.545859337E-2,1.672759672E0
4.218968333E-1,-1.525393553E0,1.116348658E0,2.924309492E-2,1.890480091E0
4.319668334E-1,-1.600665929E0,1.438815585E0,-1.061830974E-1,2.154900590E0
4.420368333E-1,-1.659860802E0,1.743278350E0,-3.442209077E-1,2.431593165E0
4.521068333E-1,-1.685735900E0,2.093270459E0,-3.333252060E-1,2.708245268E0
4.621768334E-1,-1.544213401E0,2.508735012E0,-3.919534832E-2,2.946164059E0
4.722468333E-1,-1.146054268E0,2.698083057E0,9.265614867E-2,2.932861697E0
4.823168333E-1,-8.207958806E-1,2.785324684E0,1.666164100E-3,2.903746244E0
4.923868334E-1,-7.620939285E-1,2.828718041E0,3.595774502E-2,2.929799630E0
5.024568333E-1,-8.558861911E-1,2.734727558E0,-4.141109222E-1,2.895300303E0
5.125268333E-1,-8.665129209E-1,2.993891943E0,-7.286215425E-1,3.200800363E0
5.225968334E-1,-8.735722643E-1,3.370741484E0,-9.107713732E-1,3.599240357E0
5.326668333E-1,-9.175468343E-1,3.586387382E0,-1.555392400E0,4.015384435E0
5.427368333E-1,-7.932478935E-1,3.424173340E0,-2.216994034E0,4.155630858E0
5.528068334E-1,-9.238916481E-1,3.745580751E0,-2.260488840E0,4.471326508E0
5.628758334E-1,-1.173086531E0,2.754526815E0,-1.770049242E0,3.478020170E0
5.729458333E-1,-3.638611203E-1,3.203592392E0,-3.988479352E0,5.128680793E0
5.830158333E-1,1.186633945E-1,4.303448979E0,-3.560111456E0,5.586425305E0
5.930858334E-1,1.382738448E0,3.772880232E0,-3.380431197E0,5.251086167E0
6.031558333E-1,2.933050495E0,2.946276897E0,-2.855134300E0,5.043324759E0
6.132258333E-1,3.887103251E0,2.581033494E0,-3.355767349E0,5.747388979E0
6.232958334E-1,4.909504110E0,2.149665685E0,-3.272135793E0,6.279424003E0
6.333658333E-1,5.485667106E0,1.256628039E0,-2.525711818E0,6.168539358E0
6.434358333E-1,6.273170695E0,6.690068400E-1,-2.081295654E0,6.643194436E0
6.535058334E-1,8.148204355E0,5.604380786E-1,-2.079229102E0,8.427960530E0
6.635758333E-1,1.104641714E1,4.879010296E-1,-2.395311600E0,1.131365974E1
6.736458333E-1,1.397966235E1,-1.008212006E-1,-3.060848994E0,1.431118167E1
6.837158334E-1,1.626954777E1,-1.285517378E0,-3.002252292E0,1.659410312E1
6.937858333E-1,1.821925973E1,-2.617213141E0,-2.200612475E0,1.853736564E1
7.038558333E-1,1.978701051E1,-3.606604130E0,-1.518830053E0,2.017028069E1
7.139258333E-1,2.144922189E1,-3.735610079E0,4.897078192E-1,2.177759666E1
7.239958333E-1,2.333345206E1,-3.489252266E0,3.090736452E0,2.379448503E1
7.340658333E-1,2.550996348E1,-3.853153732E0,5.643284651E0,2.640931071E1
7.441358333E-1,2.807326587E1,-4.806625274E0,8.130957407E0,2.961966191E1
7.542048334E-1,3.032595014E1,-6.288260019E0,9.468706208E0,3.238613690E1
7.642748333E-1,3.132152749E1,-8.129240665E0,9.713671800E0,3.378576709E1
7.743448333E-1,3.075772960E1,-9.230251492E0,1.101585257E1,3.394973462E1
7.844148334E-1,2.958424721E1,-8.707564791E0,1.140478714E1,3.288036705E1
7.944848333E-1,2.779517931E1,-1.135920341E1,1.118438219E1,3.204206455E1
