"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.179624989E-3,1.676338255E-1,7.185877204E-2,2.317912298E-1,2.949439893E-1
1.124962501E-2,1.232043421E-1,7.977356315E-2,1.199725860E-1,1.895693876E-1
2.131962503E-2,1.774992478E-1,1.629086906E-1,2.613705397E-4,2.409259072E-1
3.138962499E-2,1.457336640E-1,1.911121505E-1,-2.856505179E-1,3.733073443E-1
4.145962500E-2,1.452044910E-1,2.185350072E-1,-4.932600758E-1,5.587015268E-1
5.152962502E-2,1.880891401E-1,2.249593431E-1,-6.855176228E-1,7.455995184E-1
6.159962498E-2,2.722089386E-1,2.679948503E-1,-6.872156543E-1,7.862469723E-1
7.166962500E-2,4.146383411E-1,2.415683591E-1,-5.489359476E-1,7.291165206E-1
8.173962502E-2,4.607255101E-1,2.839665198E-1,-4.269180787E-1,6.893214243E-1
9.180962498E-2,5.645100796E-1,1.857707191E-1,-6.179137965E-1,8.573213225E-1
1.018796250E-1,6.202510017E-1,1.756673151E-1,-6.056160787E-1,8.845005063E-1
1.119496250E-1,5.540552580E-1,2.414303648E-1,-4.057366131E-1,7.279340967E-1
1.220196250E-1,4.425102639E-1,2.240834302E-1,-2.881251327E-1,5.736242755E-1
1.320896250E-1,3.407944393E-1,1.546986151E-1,-2.115002221E-1,4.298893524E-1
1.421596250E-1,2.236501515E-1,1.620982665E-1,-6.272549428E-2,2.832485232E-1
1.522296250E-1,8.240071714E-2,9.663342476E-2,9.833035983E-2,1.606136876E-1
1.622996250E-1,-4.711978734E-2,2.429401159E-2,3.706908144E-2,6.468840821E-2
1.723696250E-1,-9.453485906E-2,-2.261410654E-2,-4.193003627E-1,4.304195994E-1
1.824396250E-1,8.501793087E-2,2.005010247E-2,-3.943455791E-1,4.039040616E-1
1.925096250E-1,2.523208040E-1,1.108608699E-1,-2.627474859E-1,3.807783633E-1
2.025796250E-1,3.802339089E-1,2.093010843E-2,-4.085255887E-1,5.584881839E-1
2.126496250E-1,4.656488657E-1,-1.702826142E-2,-4.629246845E-1,6.568242469E-1
2.227196250E-1,5.038721144E-1,-1.303753674E-2,-3.310354729E-1,6.030270055E-1
2.327896250E-1,5.098637563E-1,-3.705789864E-2,-9.469916582E-2,5.199060202E-1
2.428596250E-1,4.695811182E-1,-6.710381627E-2,8.397807665E-3,4.744258340E-1
2.529296250E-1,3.298940599E-1,-2.926005185E-2,-3.121828437E-3,3.312038454E-1
2.629996250E-1,2.271818697E-1,-8.936650515E-2,-1.124657113E-2,2.443858825E-1
2.730696250E-1,7.254581988E-2,-1.578555268E-1,9.292395115E-3,1.739758947E-1
2.831396250E-1,-1.642091113E-1,-2.458836043E-1,-1.698493721E-1,3.409870794E-1
2.932096250E-1,-3.181967050E-1,-2.314971149E-1,-2.394610226E-1,4.606317820E-1
3.032796250E-1,-3.424468625E-1,-2.952370280E-1,-3.107058370E-1,5.486099466E-1
3.133496250E-1,-3.460645348E-1,-1.173126876E-1,-2.328852804E-1,4.333110693E-1
3.234196250E-1,-2.994563788E-1,5.578419149E-2,-3.104293003E-1,4.349164854E-1
3.334896250E-1,-1.955846858E-1,-7.457714260E-2,-4.355140704E-1,4.832055722E-1
3.435596250E-1,-2.028071666E-1,-2.340599495E-1,-2.213282222E-1,3.806586249E-1
3.536296250E-1,-2.962491810E-1,-2.864931017E-1,-2.479340035E-2,4.128638847E-1
3.636996250E-1,-4.288675404E-1,-2.371069336E-1,-1.541969240E-2,4.902905588E-1
3.737696250E-1,-4.225689197E-1,-2.898961812E-1,-2.264279444E-2,5.129492995E-1
3.838396250E-1,-4.454742175E-1,-2.673849857E-1,1.234229914E-1,5.340180183E-1
3.939096250E-1,-5.407078189E-1,-2.299891180E-1,1.239621047E-1,6.005218923E-1
4.039796250E-1,-5.928252214E-1,-3.512118387E-1,1.136581413E-1,6.983621352E-1
4.140496250E-1,-6.000553036E-1,-4.715615702E-1,1.365570072E-1,7.752963937E-1
4.241196250E-1,-6.342790568E-1,-3.139171278E-1,1.880137110E-1,7.322588617E-1
4.341896250E-1,-5.282368773E-1,-3.606276101E-1,6.924331248E-2,6.433359216E-1
4.442596250E-1,-4.065229905E-1,-2.562232357E-1,-1.727630031E-1,5.106450269E-1
4.543296250E-1,-2.569646627E-1,-1.169203395E-1,-3.825868650E-1,4.754723051E-1
4.643996250E-1,-2.471039182E-1,5.955973864E-2,-3.903945790E-1,4.658493707E-1
4.744696250E-1,-4.486434084E-1,5.735060209E-1,-4.238378020E-1,8.425132321E-1
4.845396250E-1,-2.086859572E-1,-1.728635752E-1,-9.420431596E-1,9.802433162E-1
4.946096250E-1,-8.177331090E-2,-4.562114596E-1,-1.087810153E0,1.182432535E0
5.046796250E-1,4.394124091E-2,-3.640739590E-1,-6.534783894E-1,7.493428359E-1
5.147506250E-1,4.757353127E-2,-4.569066936E-1,-2.439417440E-1,5.201293512E-1
5.248196250E-1,-9.931554258E-2,-6.195744789E-1,-4.357929826E-2,6.289954428E-1
5.348906250E-1,-1.486648732E-1,-6.873706055E-1,2.476594220E-1,7.455969307E-1
5.449606250E-1,-2.114528596E-1,-7.297126329E-1,4.527943468E-1,8.844295105E-1
5.550306250E-1,-2.422840583E-1,-7.184953344E-1,4.655026853E-1,8.897358375E-1
5.651006250E-1,-2.541679394E-1,-4.944124889E-1,6.733618462E-1,8.731902579E-1
5.751706250E-1,-3.399547791E-1,-2.428822285E-1,6.452729917E-1,7.687250891E-1
5.852406250E-1,-4.932541555E-1,3.214448333E-2,3.300881875E-1,5.943829921E-1
5.953106250E-1,-7.558590424E-1,6.507459855E-1,-8.036179304E-2,1.000625428E0
6.053806250E-1,-8.465686530E-1,8.409687746E-1,-3.506259477E-1,1.243722445E0
6.154506250E-1,-1.041089730E0,1.027266912E0,-3.845444763E-1,1.512289519E0
6.255206250E-1,-1.361814187E0,1.390335735E0,-5.119225609E-1,2.012370752E0
6.355906250E-1,-1.713313124E0,1.434786853E0,-7.588072085E-1,2.360051600E0
6.456606250E-1,-1.949175770E0,1.193559387E0,-9.103424799E-1,2.460201947E0
6.557306250E-1,-2.157611466E0,1.416433028E0,-8.400250340E-1,2.714260824E0
6.658006250E-1,-2.357486254E0,1.595250823E0,-7.841361773E-1,2.952530469E0
6.758706250E-1,-2.712018142E0,1.734177743E0,-8.911390543E-1,3.340141264E0
6.859406250E-1,-2.839453529E0,2.057545141E0,-8.859163213E-1,3.616743850E0
6.960106250E-1,-2.874377779E0,2.415521623E0,-5.734270469E-1,3.798106226E0
7.060806250E-1,-3.102168928E0,2.921867110E0,-5.801514546E-1,4.300852843E0
7.161506250E-1,-3.156232869E0,3.482233853E0,-8.104076441E-1,4.769121416E0
7.262241250E-1,-3.036382490E0,4.026041865E0,-1.311744479E0,5.210499525E0
7.362941250E-1,-3.009493484E0,4.448306730E0,-2.103280892E0,5.767865663E0
7.463641250E-1,-2.109412867E0,4.693768165E0,-2.783498014E0,5.850550694E0
7.564341250E-1,-1.063383994E0,5.331235124E0,-3.226757891E0,6.321773482E0
7.665041250E-1,-7.878234315E-1,5.821380900E0,-3.776062871E0,6.983394028E0
7.765741250E-1,-5.679880035E-1,5.246055810E0,-4.348850269E0,6.837851314E0
7.866441250E-1,-2.796664774E-1,4.372912146E0,-4.709915836E0,6.433030480E0
7.967141250E-1,1.854403514E-1,3.573945676E0,-4.328066926E0,5.616016305E0
8.067841250E-1,4.176268530E-1,2.545504643E0,-4.514685491E0,5.199652985E0
8.168541250E-1,1.403031210E0,1.042564983E0,-4.814334244E0,5.121840736E0
8.269241250E-1,2.784793757E0,-1.185224766E-1,-5.869171947E0,6.497407421E0
8.369941250E-1,4.872224017E0,-1.506936232E0,-7.400841901E0,8.987874305E0
8.470641250E-1,7.696146172E0,-2.634587558E0,-9.080485003E0,1.219126431E1
8.571341250E-1,1.120490709E1,-4.303651877E0,-1.075181453E1,1.611436868E1
8.672041250E-1,1.488156145E1,-6.528115729E0,-1.078831402E1,1.950550911E1
8.772741250E-1,1.842034080E1,-8.619302241E0,-9.695057774E0,2.252987953E1
8.873441250E-1,2.152625311E1,-1.010901959E1,-9.191213726E0,2.549608323E1
8.974141250E-1,2.424348229E1,-1.080976044E1,-9.036994582E0,2.804041058E1
9.074841250E-1,2.567611796E1,-1.039282941E1,-8.077353058E0,2.885338054E1
9.175541250E-1,2.717326010E1,-1.027897944E1,-8.794435705E0,3.035433383E1
9.276241250E-1,2.866798150E1,-1.018327104E1,-9.410721710E0,3.184515435E1
9.376941250E-1,2.947913064E1,-9.830792699E0,-9.919894910E0,3.262005432E1
