"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.689791695E-3,6.631341890E-1,4.385587156E-1,-1.924276279E-1,8.179908872E-1
1.575879171E-2,3.242438954E-1,9.126100302E-2,-2.839004463E-1,4.405248436E-1
2.582879167E-2,4.882594639E-1,-2.871076441E-1,-1.780536369E-1,5.937433798E-1
3.589708335E-2,3.381552985E-1,2.204505551E-1,-6.750610471E-2,4.092731696E-1
4.596608336E-2,9.764557779E-2,4.296054590E-1,1.363059059E-2,4.407735272E-1
5.603608332E-2,2.753138101E-1,5.850022316E-2,6.263420463E-2,2.883453030E-1
6.610508333E-2,8.360845953E-2,1.888446003E-1,1.418212190E-1,2.505312670E-1
7.617508335E-2,-3.032667169E-1,-1.570468569E-1,-4.065311766E-1,5.309444551E-1
8.624408336E-2,-4.858527499E-1,6.255111569E-1,-5.714649772E-1,9.766725768E-1
9.631308337E-2,-4.546490836E-1,-4.524271417E-1,-1.169026809E0,1.333424084E0
1.063830833E-1,-6.707946262E-1,1.523784399E-3,-6.038964857E-1,9.025844658E-1
1.164520833E-1,-6.671383622E-1,5.202220988E-1,-9.933893144E-2,8.518056408E-1
1.265220834E-1,-3.162700474E-2,3.616689992E-1,4.039772590E-1,5.431411954E-1
1.365910834E-1,-2.926794559E-2,1.463967383E0,9.141841006E-1,1.726206732E0
1.466600833E-1,-1.311720505E-1,1.988077880E0,1.877090710E-1,2.001223241E0
1.567300833E-1,-1.919877711E-1,7.199419355E-1,-5.191065963E-1,9.081009597E-1
1.667990834E-1,1.195147491E-1,-4.605576950E-1,-5.368317727E-1,7.173461632E-1
1.768690834E-1,1.345020398E-1,-1.616006684E-1,1.514189118E-1,2.591008715E-1
1.869380833E-1,2.397913903E-2,1.058429648E0,5.579161014E-1,1.196711618E0
1.970070833E-1,-3.132368043E-1,1.928961945E0,2.409438034E-1,1.969026510E0
2.070770834E-1,-6.852679467E-1,1.414009942E0,-2.574482274E-1,1.592261242E0
2.171460834E-1,-4.063885045E-1,6.689507067E-2,-5.054532746E-1,6.520042791E-1
2.272160833E-1,3.363026083E-2,-8.911776459E-1,-5.876392528E-1,1.068011462E0
2.372850833E-1,-2.234671336E-1,-1.578894407E0,-2.873106156E-1,1.620306297E0
2.473540833E-1,-6.930728102E-1,-1.625766272E0,4.049014114E-2,1.767796748E0
2.574240834E-1,-7.700680688E-1,-7.207377416E-1,-3.868693292E-2,1.055445120E0
2.674930834E-1,-8.210683608E-1,-5.729756784E-1,-3.854864627E-1,1.072871937E0
2.775630833E-1,-7.689918888E-1,-1.401796862E0,-6.148907860E-1,1.713030545E0
2.876320833E-1,-1.057698454E0,-1.393411371E0,-5.537447709E-1,1.834926303E0
2.977010834E-1,-1.369410304E0,-1.318295699E-1,2.988435906E-1,1.407824957E0
3.077710833E-1,-1.190852126E0,2.416548979E-1,6.358624828E-1,1.371439744E0
3.178400833E-1,-1.081172101E0,-1.140268448E0,1.230130651E-1,1.576159085E0
3.279100833E-1,-1.177949075E0,-5.642551410E-1,7.720540025E-1,1.517239358E0
3.379790834E-1,-1.494546859E0,5.279912943E-1,1.081715527E0,1.918998072E0
3.480480834E-1,-1.089146826E0,-1.337059414E-1,5.646843266E-1,1.234093382E0
3.581180833E-1,-5.836550331E-1,-2.147617990E-1,5.584318259E-1,8.358360677E-1
3.681870833E-1,-6.997897992E-1,-1.211999166E-1,1.559510156E-1,7.271285320E-1
3.782560833E-1,-1.278060131E0,3.930486667E-1,-4.302363735E-1,1.404645254E0
3.883260834E-1,-1.188648018E0,5.162822449E-1,-9.209680402E-1,1.589847036E0
3.983950833E-1,-1.130805022E0,5.337051934E-1,-1.091802705E0,1.659998306E0
4.084650833E-1,-9.731243268E-1,6.993492115E-1,-9.464067905E-1,1.527005595E0
4.185340834E-1,-9.373256260E-1,1.052477767E0,-1.136779561E0,1.810678478E0
4.286030834E-1,-1.125492242E0,1.275403449E0,-1.454511266E0,2.238077248E0
4.386730833E-1,-1.273510413E0,1.147924207E0,-1.530080681E0,2.297978600E0
4.487420833E-1,-1.343378793E0,1.126105907E0,-1.326663650E0,2.198367015E0
4.588120834E-1,-1.233904005E0,1.336621458E0,-1.149843337E0,2.152025956E0
4.688810834E-1,-1.153870826E0,1.751110110E0,-1.083267451E0,2.360354395E0
4.789500834E-1,-8.732340029E-1,1.995676922E0,-1.038498171E0,2.413243140E0
4.890200833E-1,-4.038885275E-1,2.339035950E0,-1.136466588E0,2.631686042E0
4.990890833E-1,2.554323998E-1,3.135261245E0,-1.782660517E0,3.615658627E0
5.091590834E-1,1.170156198E0,3.900171193E0,-2.926447234E0,5.014448552E0
5.192280834E-1,2.242665065E0,4.803981164E0,-3.612503386E0,6.415447165E0
5.292970833E-1,3.274196352E0,5.449231936E0,-4.251897587E0,7.648079728E0
5.393670833E-1,4.290926874E0,4.426187882E0,-5.296499155E0,8.127490136E0
